team_id,team_name,api_venue,osm_name,latitude,longitude,timezone,osm_type,osm_id,osm_address,address_check,status,note
108,FC Internazionale Milano,Stadio Giuseppe Meazza,Stadio Giuseppe Meazza,45.47820,9.12396,Europe/Rome,way,218520505,"Stadio Giuseppe Meazza, Piazzale Angelo Moratti, Quartiere Harar, San Siro, Municipio 7, Milano, Lombardia, 20151, Italia",OK,RESOLVED,query 'Stadio Giuseppe Meazza'; OSM type stadium
113,SSC Napoli,Stadio San Paolo,Stadio Diego Armando Maradona,40.82798,14.19289,Europe/Rome,way,22790881,"Stadio Diego Armando Maradona, Via Luigi Tansillo, Rione Lauro, Fuorigrotta, Municipalità 10, Napoli, Campania, 80125, Italia",REVIEWED: API address is the Castel Volturno training centre; stadium is in Naples,RESOLVED,query 'Stadio Diego Armando Maradona'; API name 'San Paolo' (renamed 2020) matched Stadio Silvio Piola in Novara; OSM type stadium
498,Sporting Clube de Portugal,Estádio José Alvalade,Estádio José Alvalade,38.76120,-9.16078,Europe/Lisbon,way,657418772,"Estádio José Alvalade, Rua Professor Fernando da Fonseca, Lumiar, Lisboa, 1501-806, Portugal",OK,RESOLVED,query 'Estádio José Alvalade'; OSM type stadium
503,FC Porto,Estádio Do Dragão,Estádio do Dragão,41.16182,-8.58375,Europe/Lisbon,way,547707192,"Estádio do Dragão, Via Futebol Clube do Porto, Monte Aventino, Campanhã, Porto, 4350-415, Portugal",OK,RESOLVED,query 'Estádio Do Dragão'; OSM type stadium
521,Lille OSC,Stade Pierre-Mauroy,Stade Pierre Mauroy,50.61271,3.12783,Europe/Paris,node,13972564169,"Stade Pierre Mauroy, Boulevard de Tournai, Hôtel-de-Ville, Saint-Sauveur, Villeneuve-d'Ascq, Lille, Nord, Hauts-de-France, France métropolitaine, 59491, France",OK,RESOLVED,query 'Stade Pierre-Mauroy'; OSM type bus_stop
524,Paris Saint-Germain FC,Parc des Princes,Parc des Princes,48.84136,2.25307,Europe/Paris,way,53559935,"Parc des Princes, 24, Rue du Commandant Guilbaud, Quartier d'Auteuil, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France",OK,RESOLVED,query 'Parc des Princes'; OSM type stadium
546,Racing Club de Lens,Stade Bollaert-Delelis,Stade Bollaert-Delelis,50.43282,2.81499,Europe/Paris,way,268785933,"Stade Bollaert-Delelis, Avenue Alfred Maës, Cité n°4, Lens, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62300, France",REVIEWED: API address is in neighbouring Avion; stadium is in Lens,RESOLVED,query 'Stade Bollaert-Delelis'; OSM type stadium
610,Galatasaray SK,Türk Telekom Arena,RAMS Park,41.10337,28.99095,Europe/Istanbul,way,342828509,"RAMS Park, Metin Oktay Caddesi, Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye",OK,RESOLVED,"query 'RAMS Park'; API name 'Türk Telekom Arena' is outdated; 'Ali Sami Yen' matched the old, demolished stadium in Zincirlikuyu; OSM type stadium"
613,Fenerbahçe SK,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,Chobani Stadyumu,40.98758,29.03698,Europe/Istanbul,way,66321024,"Chobani Stadyumu, 3, Recep Peker Caddesi, Kızıltoprak, Zühtüpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34724, Türkiye",OK,RESOLVED,"query 'Şükrü Saracoğlu'; API name is a long complex name, no OSM hit; OSM type stadium"
674,PSV,Philips Stadion,Philips Stadion,51.44171,5.46743,Europe/Amsterdam,way,270383267,"Philips Stadion, Vonderweg, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5616 RX, Nederland",OK,RESOLVED,query 'Philips Stadion'; OSM type stadium
675,Feyenoord Rotterdam,Stadion Feijenoord,Stadion Feijenoord,51.89386,4.52323,Europe/Amsterdam,way,54096891,"Stadion Feijenoord, Olympiaweg, De Veranda, Oud-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3077 AL, Nederland",OK,RESOLVED,query 'Stadion Feijenoord'; OSM type stadium
721,RB Leipzig,Red Bull Arena,Red Bull Arena,51.34571,12.34824,Europe/Berlin,way,8015060,"Red Bull Arena, Am Sportforum, Zentrum-Nordwest, Mitte, Leipzig, Sachsen, 04105, Deutschland",OK,RESOLVED,query 'Red Bull Arena'; OSM type stadium
851,Club Brugge KV,Jan Breydelstadion,Jan Breydelstadion,51.19335,3.18059,Europe/Brussels,way,184958291,"Jan Breydelstadion, Olympialaan, Sint-Andries, Brugge, West-Vlaanderen, Vlaanderen, 8200, België / Belgique / Belgien",OK,RESOLVED,query 'Jan Breydelstadion'; OSM type stadium
930,SK Slavia Praha,Sinobo Stadium,Fortuna Arena,50.06757,14.47151,Europe/Prague,way,4882812,"Fortuna Arena, 1540/2a, U Slavie, Vršovice, Praha 10, obvod Praha 10, Praha, 100 00, Česko",OK,RESOLVED,query 'Sinobo Stadium'; OSM type stadium
1887,FK Shakhtar Donetsk,Oblasny SportKomplex Metalist,,,,Europe/Kyiv,,,,,NOT_AVAILABLE,Shakhtar have played their home matches outside Ukraine since 2022; the API still lists the Metalist stadium in Kharkiv and names no 2026/27 venue
1899,PAE AEK,Olympiako Stadio Spyros Louis,Γήπεδο ΑΕΚ Αγιά Σοφιά,38.03719,23.74093,Europe/Athens,relation,13103279,"Γήπεδο ΑΕΚ Αγιά Σοφιά, Φωκών, Νέα Φιλαδέλφεια, Δημοτική Ενότητα Νέας Φιλαδέλφειας, Δήμος Νέας Φιλαδέλφειας - Νέας Χαλκηδόνας, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 143 41, Ελλάς","REVIEWED: OSM address in Greek script: Nea Filadelfeia, Athens",RESOLVED,query 'OPAP Arena'; AEK moved from the Olympic stadium to OPAP Arena in 2022; both are in Athens; OSM type stadium
2016,LASK Linz,Raiffeisen Arena,Raiffeisen Arena,48.29357,14.27656,Europe/Vienna,way,1011098666,"Raiffeisen Arena, 1, Helmut-Köglberger-Platz, Römerberg, Froschberg, Linz, Oberösterreich, 4020, Österreich",REVIEWED: API address is the Pasching training ground; stadium is in Linz,RESOLVED,query 'Raiffeisen Arena'; OSM type stadium
5720,Viking FK,SR-Bank Arena,Lyse Arena,58.91460,5.73100,Europe/Oslo,way,201384256,"Lyse Arena, Gamle Jåttåvågen, Jåttåvågen, Gausel, Hinna, Stavanger, Rogaland, 4032, Norge",OK,RESOLVED,query 'Viking Stadion Stavanger'; API name 'SR-Bank Arena' is a former sponsor name; OSM type stadium
5721,FK Bodø/Glimt,Aspmyra Stadion,Aspmyra stadion,67.27665,14.38443,Europe/Oslo,way,24292284,"Aspmyra stadion, Hålogalandsgata, Aspåsen, Vestbyen, Hernes - Hierggenjárgga - Härrgenjárrga, Bodø, Nordland, 8004, Norge",OK,RESOLVED,query 'Aspmyra Stadion'; OSM type stadium
7397,Como 1907,Stadio Giuseppe Sinigaglia,Stadio Giuseppe Sinigaglia,45.81383,9.07232,Europe/Rome,way,288519795,"Stadio Giuseppe Sinigaglia, 2, Via Giuseppe Sinigaglia, Stadio, Vico, Como, Lombardia, 22100, Italia",OK,RESOLVED,query 'Stadio Giuseppe Sinigaglia'; OSM type stadium
7509,ŠK Slovan Bratislava,Štadión Tehelné pole,Národný futbalový štadión,48.16349,17.13679,Europe/Bratislava,way,678498215,"Národný futbalový štadión, 4, Viktora Tegelhoffa, Tehelné pole, Bratislava, okres Bratislava III, Bratislava, Bratislavský kraj, 832 32, Slovensko",OK,RESOLVED,query 'Štadión Tehelné pole'; OSM type stadium
10233,Sabah FK,,,,,Asia/Baku,,,,,NOT_AVAILABLE,the API delivers no venue for Sabah FK
